0xFFE00004|DMEM_CONTROL|L1 Data Memory Control Register|2-6
0xFFC03724|PWM_SYNCWT|PWM Sync Pulse Width Control Register|14-48
0xFFC03728|PWM_CHAL|PWM Channel AL Duty Control Register|14-49 0xFCC0372C PWM_CHBL
0xFFC03730|PWM_CHCL|PWM_CHCL Register|14-50
0xFFC03734|PWM_LSI|PWM Low Side Invert Register|14-50
0xFFC03738|PWM_STAT2|PWM_STAT2 Register|14-51
0xFFC03800|RSI_PWR_CONTROL|RSI Power Control Register|21-55
0xFFC03804|RSI_CLK_CONTROL|RSI Clock Control Register|21-57
0xFFC03808|RSI_ARGUMENT|RSI Argument Register|21-58
0xFFC0380C|RSI_COMMAND|RSI Command Register|21-59
0xFFC03810|RSI_RESP_CMD|RSI Response Command Register|21-60
0xFFC03814|RSI_RESPONSE0|RSI Response Registers|21-61
0xFFC03818|RSI_RESPONSE1|RSI Response Registers|21-61
0xFFC0381C|RSI_RESPONSE2|RSI Response Registers|21-61
0xFFC03820|RSI_RESPONSE3|RSI Response Registers|21-61
0xFFC03824|RSI_DATA_TIMER|RSI Data Timer Register|21-62
0xFFC03828|RSI_DATA_LGTH|RSI Data Length Register|21-63
0xFFC0382C|RSI_DATA_CONTROL|RSI Data Control Register|21-64
0xFFC03830|RSI_DATA_CNT|RSI Data Counter Register|21-65
0xFFC03834|RSI_STATUS|RSI Status Register|21-67
0xFFC03838|RSI_STATUSCL|RSI Status Clear Register|21-70
0xFFC0383C|RSI_MASK0|RSI Interrupt Mask Registers|21-72
0xFFC03840|RSI_MASK1|RSI Interrupt Mask Registers|21-72
0xFFC03848|RSI_FIFO_CNT|RSI FIFO Counter Register|21-75
0xFFC0384C|RSI_CEATA_CONTROL|RSI CE_ATA Control Register|21-76
0xFFC03880|RSI_FIFO|RSI Data FIFO Register|21-76
0xFFC038C0|RSI_ESTAT|RSI Exception Status Register|21-77
0xFFC038C4|RSI_EMASK|RSI Exception Mask Register|21-78
0xFFC038C8|RSI_CONFIG|RSI Configuration Register|21-80
0xFFC038CC|RSI_RD_WAIT_EN|RSI Read Wait Enable Register|21-81
0xFFC03FE0|RSI_PID0|RSI Peripheral ID Registers|21-82
0xFFC03FE4|RSI_PID1|RSI Peripheral ID Registers|21-82
0xFFC03FE8|RSI_PID2|RSI Peripheral ID Registers|21-82
0xFFC03FEC|RSI_PID3|RSI Peripheral ID Registers|21-82
0xFFC03FF0|RSI_PID4|RSI Peripheral ID Registers|21-82
0xFFC03FF4|RSI_PID5|RSI Peripheral ID Registers|21-82
0xFFC03FF8|RSI_PID6|RSI Peripheral ID Registers|21-82
0xFFC03FFC|RSI_PID7|RSI Peripheral ID Registers|21-82
0xFFC01400|TWI_CLKDIV|SCL Clock Divider Register|16-28
0xFFC01404|TWI_CONTROL|TWI Control Register|16-27
0xFFC01408|TWI_SLAVE_CTL|TWI Slave Mode Control Register|16-28
0xFFC0140C|TWI_SLAVE_STAT|TWI Slave Mode Status Register|16-30
0xFFC01410|TWI_SLAVE_ADDR|TWI Slave Mode Address Register|16-30
0xFFC01414|TWI_MASTER_CTL|TWI Master Mode Control Register|16-32
0xFFC01418|TWI_MASTER_STAT|TWI Master Mode Status Register|16-35
0xFFC0141C|TWI_MASTER_ADDR|TWI Master Mode Address Register|16-34
0xFFC01420|TWI_INT_STAT|TWI Interrupt Status Register|16-42
0xFFC01424|TWI_INT_MASK|TWI Interrupt Mask Register|16-42
0xFFC01428|TWI_FIFO_CTL|TWI FIFO Control Register|16-38
0xFFC0142C|TWI_FIFO_STAT|TWI FIFO Status Register|16-40
0xFFC01480|TWI_XMT_DATA8|TWI FIFO Transmit Data Single Byte Register|16-45
0xFFC01484|TWI_XMT_DATA16|TWI FIFO Transmit Data Double Byte Regis- ter|16-46
0xFFC01488|TWI_RCV_DATA8|TWI FIFO Receive Data Single Byte Register|16-47
0xFFC0148C|TWI_RCV_DATA16|TWI FIFO Receive Data Double Byte Register|16-48
0xFFC0C00|DMA0_NEXT_DESC_PTR|DMA Next Descriptor Pointer Registers|6-81
0xFFC0C04|DMA0_START_ADDR|DMA Start Address Registers|6-74
0xFFC0C08|DMA0_CONFIG|DMA Configuration Registers|6-67
0xFFC0C10|DMA0_X_COUNT|DMA Inner Loop Count Registers|6-75
0xFFC0C14|DMA0_X_MODIFY|DMA Inner Loop Address Increment Registers|6-77
0xFFC0C18|DMA0_Y_COUNT|DMA Outer Loop Count Registers|6-78
0xFFC0C1C|DMA0_Y_MODIFY|DMA Outer Loop Address Increment Registers|6-80
0xFFC0C20|DMA0_CURR_DESC_PTR|DMA Current Descriptor Pointer Registers|6-82
0xFFC0C24|DMA0_CURR_ADDR|DMA Current Address Registers|6-75
0xFFC0C28|DMA0_IRQ_STATUS|DMA Interrupt Status Registers|6-72
0xFFC0C2C|DMA0_PERIPHERAL_MAP|DMA Peripheral Map Registers|6-66
0xFFC0C30|DMA0_CURR_X_COUNT|DMA Current Inner Loop Count Registers|6-76
0xFFC0C38|DMA0_CURR_Y_COUNT|DMA Current Outer Loop Count Registers|6-79
0xFFC0C40|DMA1_NEXT_DESC_PTR|DMA Next Descriptor Pointer Registers|6-81
0xFFC0C44|DMA1_START_ADDR|DMA Start Address Registers|6-74
0xFFC0C48|DMA1_CONFIG|DMA Configuration Registers|6-67
0xFFC0C50|DMA1_X_COUNT|DMA Inner Loop Count Registers|6-75
0xFFC0C54|DMA1_X_MODIFY|DMA Inner Loop Address Increment Registers|6-77
0xFFC0C58|DMA1_Y_COUNT|DMA Outer Loop Count Registers|6-78
0xFFC0C5C|DMA1_Y_MODIFY|DMA Outer Loop Address Increment Registers|6-80
0xFFC0C60|DMA1_CURR_DESC_PTR|DMA Current Descriptor Pointer Registers|6-82
0xFFC0C64|DMA1_CURR_ADDR|DMA Current Address Registers|6-75
0xFFC0C68|DMA1_IRQ_STATUS|DMA Interrupt Status Registers|6-72
0xFFC0C6C|DMA1_PERIPHERAL_MAP|DMA Peripheral Map Registers|6-66
0xFFC0C70|DMA1_CURR_X_COUNT|DMA Current Inner Loop Count Registers|6-76
0xFFC0C78|DMA1_CURR_Y_COUNT|DMA Current Outer Loop Count Registers|6-79
0xFFC0C80|DMA2_NEXT_DESC_PTR|DMA Next Descriptor Pointer Registers|6-81
0xFFC0C84|DMA2_START_ADDR|DMA Start Address Registers|6-74
0xFFC0C88|DMA2_CONFIG|DMA Configuration Registers|6-67
0xFFC0C90|DMA2_X_COUNT|DMA Inner Loop Count Registers|6-75
0xFFC0C94|DMA2_X_MODIFY|DMA Inner Loop Address Increment Registers|6-77
0xFFC0C98|DMA2_Y_COUNT|DMA Outer Loop Count Registers|6-78
0xFFC0C9C|DMA2_Y_MODIFY|DMA Outer Loop Address Increment Registers|6-80
0xFFC0CA0|DMA2_CURR_DESC_PTR|DMA Current Descriptor Pointer Registers|6-82
0xFFC0CA4|DMA2_CURR_ADDR|DMA Current Address Registers|6-75
0xFFC0CA8|DMA2_IRQ_STATUS|DMA Interrupt Status Registers|6-72
0xFFC0CAC|DMA2_PERIPHERAL_MAP|DMA Peripheral Map Registers|6-66
0xFFC0CB0|DMA2_CURR_X_COUNT|DMA Current Inner Loop Count Registers|6-76
0xFFC0CB8|DMA2_CURR_Y_COUNT|DMA Current Outer Loop Count Registers|6-79
0xFFC0CC0|DMA3_NEXT_DESC_PTR|DMA Next Descriptor Pointer Registers|6-81
0xFFC0CC4|DMA3_START_ADDR|DMA Start Address Registers|6-74
0xFFC0CC8|DMA3_CONFIG|DMA Configuration Registers|6-67
0xFFC0CD0|DMA3_X_COUNT|DMA Inner Loop Count Registers|6-75
0xFFC0CD4|DMA3_X_MODIFY|DMA Inner Loop Address Increment Registers|6-77
0xFFC0CD8|DMA3_Y_COUNT|DMA Outer Loop Count Registers|6-78
0xFFC0CDC|DMA3_Y_MODIFY|DMA Outer Loop Address Increment Registers|6-80
0xFFC0CE0|DMA3_CURR_DESC_PTR|DMA Current Descriptor Pointer Registers|6-82
0xFFC0CE4|DMA3_CURR_ADDR|DMA Current Address Registers|6-75
0xFFC0CE8|DMA3_IRQ_STATUS|DMA Interrupt Status Registers|6-72
0xFFC0CEC|DMA3_PERIPHERAL_MAP|DMA Peripheral Map Registers|6-66
0xFFC0CF0|DMA3_CURR_X_COUNT|DMA Current Inner Loop Count Registers|6-76
0xFFC0CF8|DMA3_CURR_Y_COUNT|DMA Current Outer Loop Count Registers|6-79
0xFFC0D00|DMA4_NEXT_DESC_PTR|DMA Next Descriptor Pointer Registers|6-81
0xFFC0D04|DMA4_START_ADDR|DMA Start Address Registers|6-74
0xFFC0D08|DMA4_CONFIG|DMA Configuration Registers|6-67
0xFFC0D10|DMA4_X_COUNT|DMA Inner Loop Count Registers|6-75
0xFFC0D14|DMA4_X_MODIFY|DMA Inner Loop Address Increment Registers|6-77
0xFFC0D18|DMA4_Y_COUNT|DMA Outer Loop Count Registers|6-78
0xFFC0D1C|DMA4_Y_MODIFY|DMA Outer Loop Address Increment Registers|6-80
0xFFC0D20|DMA4_CURR_DESC_PTR|DMA Current Descriptor Pointer Registers|6-82
0xFFC0D24|DMA4_CURR_ADDR|DMA Current Address Registers|6-75
0xFFC0D28|DMA4_IRQ_STATUS|DMA Interrupt Status Registers|6-72
0xFFC0D2C|DMA4_PERIPHERAL_MAP|DMA Peripheral Map Registers|6-66
0xFFC0D30|DMA4_CURR_X_COUNT|DMA Current Inner Loop Count Registers|6-76
0xFFC0D38|DMA4_CURR_Y_COUNT|DMA Current Outer Loop Count Registers|6-79
0xFFC0D40|DMA5_NEXT_DESC_PTR|DMA Next Descriptor Pointer Registers|6-81
0xFFC0D44|DMA5_START_ADDR|DMA Start Address Registers|6-74
0xFFC0D48|DMA5_CONFIG|DMA Configuration Registers|6-67
0xFFC0D50|DMA5_X_COUNT|DMA Inner Loop Count Registers|6-75
0xFFC0D54|DMA5_X_MODIFY|DMA Inner Loop Address Increment Registers|6-77
0xFFC0D58|DMA5_Y_COUNT|DMA Outer Loop Count Registers|6-78
0xFFC0D5C|DMA5_Y_MODIFY|DMA Outer Loop Address Increment Registers|6-80
0xFFC0D60|DMA5_CURR_DESC_PTR|DMA Current Descriptor Pointer Registers|6-82
0xFFC0D64|DMA5_CURR_ADDR|DMA Current Address Registers|6-75
0xFFC0D68|DMA5_IRQ_STATUS|DMA Interrupt Status Registers|6-72
0xFFC0D6C|DMA5_PERIPHERAL_MAP|DMA Peripheral Map Registers|6-66
0xFFC0D70|DMA5_CURR_X_COUNT|DMA Current Inner Loop Count Registers|6-76
0xFFC0D78|DMA5_CURR_Y_COUNT|DMA Current Outer Loop Count Registers|6-79
0xFFC0D80|DMA6_NEXT_DESC_PTR|DMA Next Descriptor Pointer Registers|6-81
0xFFC0D84|DMA6_START_ADDR|DMA Start Address Registers|6-74
0xFFC0D88|DMA6_CONFIG|DMA Configuration Registers|6-67
0xFFC0D90|DMA6_X_COUNT|DMA Inner Loop Count Registers|6-75
0xFFC0D94|DMA6_X_MODIFY|DMA Inner Loop Address Increment Registers|6-77
0xFFC0D98|DMA6_Y_COUNT|DMA Outer Loop Count Registers|6-78
0xFFC0D9C|DMA6_Y_MODIFY|DMA Outer Loop Address Increment Registers|6-80
0xFFC0DA0|DMA6_CURR_DESC_PTR|DMA Current Descriptor Pointer Registers|6-82
0xFFC0DA4|DMA6_CURR_ADDR|DMA Current Address Registers|6-75
0xFFC0DA8|DMA6_IRQ_STATUS|DMA Interrupt Status Registers|6-72
0xFFC0DAC|DMA6_PERIPHERAL_MAP|DMA Peripheral Map Registers|6-66
0xFFC0DB0|DMA6_CURR_X_COUNT|DMA Current Inner Loop Count Registers|6-76
0xFFC0DB8|DMA6_CURR_Y_COUNT|DMA Current Outer Loop Count Registers|6-79
0xFFC0DC0|DMA7_NEXT_DESC_PTR|DMA Next Descriptor Pointer Registers|6-81
0xFFC0DC4|DMA7_START_ADDR|DMA Start Address Registers|6-74
0xFFC0DC8|DMA7_CONFIG|DMA Configuration Registers|6-67
0xFFC0DD0|DMA7_X_COUNT|DMA Inner Loop Count Registers|6-75
0xFFC0DD4|DMA7_X_MODIFY|DMA Inner Loop Address Increment Registers|6-77
0xFFC0DD8|DMA7_Y_COUNT|DMA Outer Loop Count Registers|6-78
0xFFC0DDC|DMA7_Y_MODIFY|DMA Outer Loop Address Increment Registers|6-80
0xFFC0DE0|DMA7_CURR_DESC_PTR|DMA Current Descriptor Pointer Registers|6-82
0xFFC0DE4|DMA7_CURR_ADDR|DMA Current Address Registers|6-75
0xFFC0DE8|DMA7_IRQ_STATUS|DMA Interrupt Status Registers|6-72
0xFFC0DEC|DMA7_PERIPHERAL_MAP|DMA Peripheral Map Registers|6-66
0xFFC0DF0|DMA7_CURR_X_COUNT|DMA Current Inner Loop Count Registers|6-76
0xFFC0DF8|DMA7_CURR_Y_COUNT|DMA Current Outer Loop Count Registers|6-79
0xFFC0E00|DMA8_NEXT_DESC_PTR|DMA Next Descriptor Pointer Registers|6-81
0xFFC0E04|DMA8_START_ADDR|DMA Start Address Registers|6-74
0xFFC0E08|DMA8_CONFIG|DMA Configuration Registers|6-67
0xFFC0E10|DMA8_X_COUNT|DMA Inner Loop Count Registers|6-75
0xFFC0E14|DMA8_X_MODIFY|DMA Inner Loop Address Increment Registers|6-77
0xFFC0E18|DMA8_Y_COUNT|DMA Outer Loop Count Registers|6-78
0xFFC0E1C|DMA8_Y_MODIFY|DMA Outer Loop Address Increment Registers|6-80
0xFFC0E20|DMA8_CURR_DESC_PTR|DMA Current Descriptor Pointer Registers|6-82
0xFFC0E24|DMA8_CURR_ADDR|DMA Current Address Registers|6-75
0xFFC0E28|DMA8_IRQ_STATUS|DMA Interrupt Status Registers|6-72
0xFFC0E2C|DMA8_PERIPHERAL_MAP|DMA Peripheral Map Registers|6-66
0xFFC0E30|DMA8_CURR_X_COUNT|DMA Current Inner Loop Count Registers|6-76
0xFFC0E38|DMA8_CURR_Y_COUNT|DMA Current Outer Loop Count Registers|6-79
0xFFC0E40|DMA9_NEXT_DESC_PTR|DMA Next Descriptor Pointer Registers|6-81
0xFFC0E44|DMA9_START_ADDR|DMA Start Address Registers|6-74
0xFFC0E48|DMA9_CONFIG|DMA Configuration Registers|6-67
0xFFC0E50|DMA9_X_COUNT|DMA Inner Loop Count Registers|6-75
0xFFC0E54|DMA9_X_MODIFY|DMA Inner Loop Address Increment Registers|6-77
0xFFC0E58|DMA9_Y_COUNT|DMA Outer Loop Count Registers|6-78
0xFFC0E5C|DMA9_Y_MODIFY|DMA Outer Loop Address Increment Registers|6-80
0xFFC0E60|DMA9_CURR_DESC_PTR|DMA Current Descriptor Pointer Registers|6-82
0xFFC0E64|DMA9_CURR_ADDR|DMA Current Address Registers|6-75
0xFFC0E68|DMA9_IRQ_STATUS|DMA Interrupt Status Registers|6-72
0xFFC0E6C|DMA9_PERIPHERAL_MAP|DMA Peripheral Map Registers|6-66
0xFFC0E70|DMA9_CURR_X_COUNT|DMA Current Inner Loop Count Registers|6-76
0xFFC0E78|DMA9_CURR_Y_COUNT|DMA Current Outer Loop Count Registers|6-79
0xFFC0E80|DMA10_NEXT_DESC_PTR|DMA Next Descriptor Pointer Registers|6-81
0xFFC0E84|DMA10_START_ADDR|DMA Start Address Registers|6-74
0xFFC0E88|DMA10_CONFIG|DMA Configuration Registers|6-67
0xFFC0E90|DMA10_X_COUNT|DMA Inner Loop Count Registers|6-75
0xFFC0E94|DMA10_X_MODIFY|DMA Inner Loop Address Increment Registers|6-77
0xFFC0E98|DMA10_Y_COUNT|DMA Outer Loop Count Registers|6-78
0xFFC0E9C|DMA10_Y_MODIFY|DMA Outer Loop Address Increment Registers|6-80
0xFFC0EA0|DMA10_CURR_DESC_PTR|DMA Current Descriptor Pointer Registers|6-82
0xFFC0EA4|DMA10_CURR_ADDR|DMA Current Address Registers|6-75
0xFFC0EA8|DMA10_IRQ_STATUS|DMA Interrupt Status Registers|6-72
0xFFC0EAC|DMA10_PERIPHERAL_MAP|DMA Peripheral Map Registers|6-66
0xFFC0EB0|DMA10_CURR_X_COUNT|DMA Current Inner Loop Count Registers|6-76
0xFFC0EB8|DMA10_CURR_Y_COUNT|DMA Current Outer Loop Count Registers|6-79
0xFFC0EC0|DMA11_NEXT_DESC_PTR|DMA Next Descriptor Pointer Registers|6-81
0xFFC0EC4|DMA11_START_ADDR|DMA Start Address Registers|6-74
0xFFC0EC8|DMA11_CONFIG|DMA Configuration Registers|6-67
0xFFC0ED0|DMA11_X_COUNT|DMA Inner Loop Count Registers|6-75
0xFFC0ED4|DMA11_X_MODIFY|DMA Inner Loop Address Increment Registers|6-77
0xFFC0ED8|DMA11_Y_COUNT|DMA Outer Loop Count Registers|6-78
0xFFC0EDC|DMA11_Y_MODIFY|DMA Outer Loop Address Increment Registers|6-80
0xFFC0EE0|DMA11_CURR_DESC_PTR|DMA Current Descriptor Pointer Registers|6-82
0xFFC0EE4|DMA11_CURR_ADDR|DMA Current Address Registers|6-75
0xFFC0EE8|DMA11_IRQ_STATUS|DMA Interrupt Status Registers|6-72
0xFFC0EEC|DMA11_PERIPHERAL_MAP|DMA Peripheral Map Registers|6-66
0xFFC0EF0|DMA11_CURR_X_COUNT|DMA Current Inner Loop Count Registers|6-76
0xFFC0EF8|DMA11_CURR_Y_COUNT|DMA Current Outer Loop Count Registers|6-79
0xFFC00F00|MDMA_D0_NEXT_DESC_PTR|DMA Next Descriptor Pointer Registers|6-81
0xFFC00F04|MDMA_D0_START_ADDR|DMA Start Address Registers|6-74
0xFFC00F08|MDMA_D0_CONFIG|DMA Configuration Registers|6-67
0xFFC00F10|MDMA_D0_X_COUNT|DMA Inner Loop Count Registers|6-75
0xFFC00F14|MDMA_D0_X_MODIFY|DMA Inner Loop Address Increment Registers|6-77
0xFFC00F18|MDMA_D0_Y_COUNT|DMA Outer Loop Count Registers|6-78
0xFFC00F1C|MDMA_D0_Y_MODIFY|DMA Outer Loop Address Increment Registers|6-80
0xFFC00F20|MDMA_D0_CURR_DESC_PTR|DMA Current Descriptor Pointer Registers|6-82
0xFFC00F24|MDMA_D0_CURR_ADDR|DMA Current Address Registers|6-75
0xFFC00F28|MDMA_D0_IRQ_STATUS|DMA Interrupt Status Registers|6-72
0xFFC00F2C|MDMA_D0_PERIPHERAL_MAP|DMA Peripheral Map Registers|6-66
0xFFC00F30|MDMA_D0_CURR_X_COUNT|DMA Current Inner Loop Count Registers|6-76
0xFFC00F38|MDMA_D0_CURR_Y_COUNT|DMA Current Outer Loop Count Registers|6-79
0xFFC00F40|MDMA_S0_NEXT_DESC_PTR|DMA Next Descriptor Pointer Registers|6-81
0xFFC00F44|MDMA_S0_START_ADDR|DMA Start Address Registers|6-74
0xFFC00F48|MDMA_S0_CONFIG|DMA Configuration Registers|6-67
0xFFC00F50|MDMA_S0_X_COUNT|DMA Inner Loop Count Registers|6-75
0xFFC00F54|MDMA_S0_X_MODIFY|DMA Inner Loop Address Increment Registers|6-77
0xFFC00F58|MDMA_S0_Y_COUNT|DMA Outer Loop Count Registers|6-78
0xFFC00F5C|MDMA_S0_Y_MODIFY|DMA Outer Loop Address Increment Registers|6-80
0xFFC00F60|MDMA_S0_CURR_DESC_PTR|DMA Current Descriptor Pointer Registers|6-82
0xFFC00F64|MDMA_S0_CURR_ADDR|DMA Current Address Registers|6-75
0xFFC00F68|MDMA_S0_IRQ_STATUS|DMA Interrupt Status Registers|6-72
0xFFC00F6C|MDMA_S0_PERIPHERAL_MAP|DMA Peripheral Map Registers|6-66
0xFFC00F70|MDMA_S0_CURR_X_COUNT|DMA Current Inner Loop Count Registers|6-76
0xFFC00F78|MDMA_S0_CURR_Y_COUNT|DMA Current Outer Loop Count Registers|6-79
0xFFC00F80|MDMA_D1_NEXT_DESC_PTR|DMA Next Descriptor Pointer Registers|6-81
0xFFC00F84|MDMA_D1_START_ADDR|DMA Start Address Registers|6-74
0xFFC00F88|MDMA_D1_CONFIG|DMA Configuration Registers|6-67
0xFFC00F90|MDMA_D1_X_COUNT|DMA Inner Loop Count Registers|6-75
0xFFC00F94|MDMA_D1_X_MODIFY|DMA Inner Loop Address Increment Registers|6-77
0xFFC00F98|MDMA_D1_Y_COUNT|DMA Outer Loop Count Registers|6-78
0xFFC00F9C|MDMA_D1_Y_MODIFY|DMA Outer Loop Address Increment Registers|6-80
0xFFC00FA0|MDMA_D1_CURR_DESC_PTR|DMA Current Descriptor Pointer Registers|6-82
0xFFC00FA4|MDMA_D1_CURR_ADDR|DMA Current Address Registers|6-75
0xFFC00FA8|MDMA_D1_IRQ_STATUS|DMA Interrupt Status Registers|6-72
0xFFC00FAC|MDMA_D1_PERIPHERAL_MAP|DMA Peripheral Map Registers|6-66
0xFFC00FB0|MDMA_D1_CURR_X_COUNT|DMA Current Inner Loop Count Registers|6-76
0xFFC00FB8|MDMA_D1_CURR_Y_COUNT|DMA Current Outer Loop Count Registers|6-79
0xFFC00FC0|MDMA_S1_NEXT_DESC_PTR|DMA Next Descriptor Pointer Registers|6-81
0xFFC00FC4|MDMA_S1_START_ADDR|DMA Start Address Registers|6-74
0xFFC00FC8|MDMA_S1_CONFIG|DMA Configuration Registers|6-67
0xFFC00FD0|MDMA_S1_X_COUNT|DMA Inner Loop Count Registers|6-75
0xFFC00FD4|MDMA_S1_X_MODIFY|DMA Inner Loop Address Increment Registers|6-77
0xFFC00FD8|MDMA_S1_Y_COUNT|DMA Outer Loop Count Registers|6-78
0xFFC00FDC|MDMA_S1_Y_MODIFY|DMA Outer Loop Address Increment Registers|6-80
0xFFC00FE0|MDMA_S1_CURR_DESC_PTR|DMA Current Descriptor Pointer Registers|6-82
0xFFC00FE4|MDMA_S1_CURR_ADDR|DMA Current Address Registers|6-75
0xFFC00FE8|MDMA_S1_IRQ_STATUS|DMA Interrupt Status Registers|6-72
0xFFC00FEC|MDMA_S1_PERIPHERAL_MAP|DMA Peripheral Map Registers|6-66
0xFFC00FF0|MDMA_S1_CURR_X_COUNT|DMA Current Inner Loop Count Registers|6-76
0xFFC00FF8|MDMA_S1_CURR_Y_COUNT|DMA Current Outer Loop Count Registers|6-79
